slug,site-address,name,geography,url
/brownfield-land/local-authority-eng/BRY/BLR71,112 Beckenham Road Beckenham BR3 4RH,BLR71,BLR71,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR71
,,,,
/brownfield-land/local-authority-eng/BRY/BLR58,Hollywood East 1 Station Road SE20 7BE,BLR58,BLR58,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR58
/brownfield-land/local-authority-eng/BRY/BLR72,Hollywood House 1 Station Road Penge London,BLR72,BLR72,https://digital-land.github.io/brownfield-land/local-authority-eng/BRY/BLR72
,,,,
/brownfield-land/local-authority-eng/BST/12-01827-P,Diamonite Industrial Park Goodneston Road Bristol BS16 3JX,12/01827/P,12/01827/P,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/12-01827-P
/brownfield-land/local-authority-eng/BST/BSA0517,"Diamonite Industrial Park, Goodneston Road, Fishponds",BSA0517,BSA0517,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/BSA0517
,,,,
/brownfield-land/local-authority-eng/BST/14-01593-F,13 - 17 Dean Street St Pauls Bristol BS2 8SF,14/01593/F,14/01593/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-01593-F
/brownfield-land/local-authority-eng/BST/17-06070-F,13 - 19 Dean Street St Pauls Bristol BS2 8SF,17/06070/F,17/06070/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/17-06070-F
,,,,
/brownfield-land/local-authority-eng/BST/14-03037-F,Land To Rear Of 47 To 95 (odds) Kings Weston Avenue Bristol,14/03037/F,14/03037/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-03037-F
/brownfield-land/local-authority-eng/BST/16-01650-F,Land To Rear Of 47 To 95 (odds) Kings Weston Avenue Bristol,16/01650/F,16/01650/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/16-01650-F
/brownfield-land/local-authority-eng/BST/18-01064-F,Land To Rear Of 47 To 95 (odds) Kings Weston Avenue Bristol,18/01064/F,18/01064/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/18-01064-F
,,,,
/brownfield-land/local-authority-eng/BST/14-03133-F,Plot ND7 Temple Quay North Avon Street Bristol BS2 0PS,14/03133/F,14/03133/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-03133-F
/brownfield-land/local-authority-eng/BST/16-04561-F,Linear Park Avon Street Bristol,16/04561/F,16/04561/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/16-04561-F
,,,,
/brownfield-land/local-authority-eng/BST/14-03981-P,Car Park Wilder Street Bristol,14/03981/P,14/03981/P,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-03981-P
/brownfield-land/local-authority-eng/BST/17-05504-P,Car Park 7-11 Wilder Street Bristol BS2 8QY,17/05504/P,17/05504/P,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/17-05504-P
,,,,
/brownfield-land/local-authority-eng/BST/14-05325-COU,Merchants House 26-28 Regent Street & 17-18 Merchants Road Bristol BS8 4HG,14/05325/COU,14/05325/COU,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-05325-COU
/brownfield-land/local-authority-eng/BST/17-02254-COU,Merchants House 26-28 Regent Street Bristol BS8 4HG,17/02254/COU,17/02254/COU,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/17-02254-COU
/brownfield-land/local-authority-eng/BST/18-06552-COU,Merchants House 26 - 28 Regent Street Bristol BS8 4HG,18/06552/COU,18/06552/COU,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/18-06552-COU
,,,,
/brownfield-land/local-authority-eng/BST/14-05820-F,Land Adjacent To 12 Duncombe Road Bristol,14/05820/F,14/05820/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/14-05820-F
/brownfield-land/local-authority-eng/BST/16-06909-F,(Land Adjacent To) 12 Duncombe Road Bristol BS15 1EL,16/06909/F,16/06909/F,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/16-06909-F
,,,,
/brownfield-land/local-authority-eng/BST/15-03524-P,Land To The Rear Of 50 Old Market Street St Philips Bristol BS2 0ER,15/03524/P,15/03524/P,https://digital-land.github.io/brownfield-land/local-authority-eng/BST/15-03524-P
